City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,nato,13.6105,123.5356,25.61,94,54,0.57,PH,1694886672
336,balqash,46.8481,74.995,17.56,47,86,2.18,KZ,1694886672
337,island harbour,50.724,-1.2758,23.29,67,99,2.24,GB,1694886673
338,gereida,11.2811,25.1414,28.66,50,84,0.77,SD,1694886673
339,broken hill,-31.95,141.4333,17.27,29,0,2.71,AU,1694886673
340,nogales,31.3086,-110.9422,30.2,17,10,2.62,MX,1694886673
341,greenville,35.6127,-77.3663,26.02,46,0,0.0,US,1694886673
342,sabang,5.8933,95.3214,27.44,77,99,7.45,ID,1694886673
343,fuglafjordur,62.244,-6.814,10.26,88,100,5.82,FO,1694886674
344,narrabri,-30.3167,149.7833,14.32,44,0,1.05,AU,1694886674
345,ufa,54.775,56.0375,12.65,70,96,0.75,RU,1694886674
346,strezhevoy,60.7333,77.5889,11.74,78,10,0.29,RU,1694886675
347,pionerskiy,54.9508,20.2275,15.42,66,8,5.83,RU,1694886675
348,chernyshevskiy,63.0128,112.4714,0.77,62,96,2.02,RU,1694886675
349,colonia,50.9333,6.95,24.97,73,20,1.03,DE,1694886544
350,awjilah,29.1081,21.2869,28.79,24,0,4.79,LY,1694886675
351,lamu,-2.2717,40.902,24.12,82,49,5.63,KE,1694886676
352,praya,14.9215,-23.5087,28.3,65,20,7.72,CV,1694886676
353,neiafu,-18.65,-173.9833,24.38,78,20,3.6,TO,1694886676
354,peace river,56.2501,-117.286,17.17,51,75,3.6,CA,1694886676
355,bubaque,11.2833,-15.8333,26.43,77,92,1.21,GW,1694886677
356,manado,1.487,124.8455,24.43,94,40,0.51,ID,1694886677
357,tolbazy,54.0241,55.8825,13.5,82,80,0.82,RU,1694886677
358,virar,19.4667,72.8,29.05,86,100,6.31,IN,1694886677
359,guardo,42.7897,-4.8482,13.14,71,87,4.92,ES,1694886677
360,eydhafushi,5.1033,73.0708,28.22,77,98,4.02,MV,1694886677
361,malango,-2.9627,119.9001,18.43,92,91,0.72,ID,1694886678
